character_id,name,race,class,level,region_id,profession_primary,profession_secondary,gold,achievement_points,household_id,guild_id,gender,age,birth_date,education_level,relationship_status,num_children
2,Halduron Sanguinar,Blood Elf,Paladin,1,5,Mining,Enchanting,188.58305,3089,1,78,Male,45,1531-07-04,Basic,Single,0
8535,Cairne Wildmane,Tauren,Rogue,4,5,Tailoring,Tailoring,4973.8574,18137,1,15,Male,41,1606-11-01,Basic,Single,0
3,Garona Blackrock,Orc,Shaman,26,2,Tailoring,Leatherworking,1573.207,12007,2,5,Female,27,1540-05-03,Basic,Divorced,1
5,Blackhand Doomhammer,Orc,Monk,13,6,Herbalism,Leatherworking,17.432999,21795,3,,Male,29,1979-05-24,Advanced,Single,1
3268,Shandris Staghelm,Night Elf,Hunter,7,6,Leatherworking,Alchemy,103421.8,4196,3,84,Female,28,1867-04-25,Basic,Single,0
6,Orgrim Hellscream,Orc,Priest,1,1,Alchemy,Blacksmithing,80845.172,12598,4,30,Female,40,1766-06-28,Advanced,Married,5
8600,Zalazane Bonecrusher,Troll,Demon Hunter,1,1,Blacksmithing,Blacksmithing,40827.051,14533,4,64,Male,43,1337-03-07,Advanced,Single,3
3573,Mathias VanCleef,Human,Warrior,6,1,Blacksmithing,Engineering,616.97852,8582,4,56,Male,28,1107-01-19,Basic,Single,0
7,Tae'thelan Dawnblade,Blood Elf,Warrior,1,8,Tailoring,Mining,3997.9517,16293,5,,Female,38,1300-07-31,Basic,Married,0
8,Fandral Feathermoon,Night Elf,Rogue,5,4,Skinning,Skinning,1979.7898,21009,6,90,Female,41,1727-05-21,Advanced,Single,2
6956,Garrosh Thunderlord,Orc,Shaman,2,4,Enchanting,Jewelcrafting,8207.915,18796,6,,Male,49,1720-03-22,Basic,Single,4
1096,Sylvanas Zelling,Undead,Priest,3,1,Leatherworking,Herbalism,1709.7794,950,7,,Male,38,1846-03-29,Basic,Married,5
10,Mathias Fordragon,Human,Mage,5,1,Alchemy,Leatherworking,2317.2561,16335,7,71,Female,39,1379-08-06,Basic,Single,4
12,Varian Fordring,Human,Mage,19,10,Mining,Jewelcrafting,7284.0405,21857,8,,Male,49,1167-02-16,Basic,Divorced,1
16,Thrall Saurfang,Orc,Druid,34,10,Enchanting,Blacksmithing,36427.012,16665,9,38,Female,49,1886-05-21,Advanced,Divorced,2
17,Tagar Wildmane,Tauren,Death Knight,1,9,Alchemy,Engineering,490.81873,4968,10,75,Female,58,1500-09-23,None,Married,0
18,Nobundo Stormcaller,Draenei,Mage,2,9,Blacksmithing,Herbalism,12320.966,3952,11,,Male,35,1498-07-05,Basic,Married,2
19,Adalyn Bloodfang,Worgen,Mage,10,5,Jewelcrafting,Tailoring,136.08247,1942,12,,Female,49,1454-02-18,Basic,Married,3
20,Lor'themar Brightwing,Blood Elf,Mage,1,10,Enchanting,Enchanting,2413.1775,24508,13,64,Female,47,1058-07-19,Advanced,Married,3
7295,Uther Menethil,Human,Monk,2,10,Herbalism,Herbalism,127.99387,14340,13,33,Female,43,1060-05-02,Basic,Married,4
1883,Talanji Soulflayer,Troll,Priest,3,10,Mining,Enchanting,956.80438,6453,14,91,Female,58,1411-05-08,Basic,Married,4
21,Talador Truthseeker,Draenei,Warlock,1,10,Alchemy,Engineering,80121.953,7677,14,,Female,42,1026-12-18,None,Single,3
24,Maiev Staghelm,Night Elf,Shaman,9,5,Alchemy,Herbalism,814.69226,10388,15,100,Female,46,1469-07-07,Master,Single,4
7307,Shandris Shadowsong,Night Elf,Priest,1,5,Tailoring,Jewelcrafting,115.08678,22898,15,31,Female,58,1027-01-23,Basic,Single,1
6458,Fandral Staghelm,Night Elf,Hunter,2,5,Engineering,Blacksmithing,156630.08,19024,15,72,Male,51,1954-04-04,Master,Married,3
1776,Halduron Brightwing,Blood Elf,Paladin,3,1,Alchemy,Mining,2165.9312,1721,16,63,Female,45,1653-07-24,Advanced,Married,1
25,Brann Deepforge,Dwarf,Demon Hunter,2,1,Enchanting,Enchanting,483.88293,7817,16,76,Male,40,1159-08-19,None,Divorced,2
27,Valeera Brightwing,Blood Elf,Druid,6,9,Leatherworking,Herbalism,5809.375,16110,17,46,Male,31,1580-07-31,Advanced,Single,1
28,Cordana Staghelm,Night Elf,Warrior,1,9,Jewelcrafting,Leatherworking,24379.898,21473,18,37,Male,74,1104-05-03,Basic,Single,2
29,Tyrande Ravencrest,Night Elf,Shaman,1,7,Enchanting,Tailoring,207.61952,21548,19,,Female,33,1191-02-20,Advanced,Single,2
31,Shandris Nightsong,Night Elf,Warlock,12,3,Jewelcrafting,Jewelcrafting,7045.5049,7797,20,78,Female,43,1842-01-30,Advanced,Married,0
32,Varian Shaw,Human,Warrior,1,5,Skinning,Herbalism,2409.6052,21526,21,50,Male,47,1420-06-16,Master,Married,0
33,Arthas VanCleef,Human,Warrior,3,7,Engineering,Tailoring,5724.2246,4953,22,20,Female,43,1543-05-23,Advanced,Single,0
2309,Lilian Windrunner,Undead,Rogue,38,7,Leatherworking,Engineering,73298.789,3961,22,,Male,57,1620-06-02,Basic,Married,3
34,Calia Crowley,Undead,Paladin,2,10,Engineering,Mining,68722.453,16566,23,33,Male,32,1478-02-26,Basic,Single,4
37,Thrall Saurfang,Orc,Demon Hunter,1,4,Enchanting,Jewelcrafting,13968.888,9432,24,77,Male,43,1879-09-29,Basic,Divorced,4
