Name,Age,Experience,KnifeSkills,PlatingAesthetics,Creativity,ChallengeWinRate,JudgesFeedback,StressManagement,SocialMediaFollowing,Education,Country,CuisineSpecialty,AudiencePopularity,SignatureDishes,UniqueIngredients,HoursPracticed,Top10Percent
Linda Olivia Garcia,30,8,6.51,7.96,6.04,18.52,6.39,1.0,4.03,Bachelor's,China,Mexican,8.17,1,4,26.41,0
Michael Benjamin Johnson,27,8,9.2,7.18,10.0,20.31,6.47,5.46,0.92,High School,France,Mexican,2.91,1,5,13.21,0
Patricia Sophie Jones,37,7,6.07,7.2,7.12,37.48,6.02,5.38,3.12,Associate's,China,French,7.67,2,5,17.56,0
Michael Benjamin Garcia,29,9,2.27,6.39,6.34,22.64,5.52,7.79,6.1,Culinary School,India,French,8.15,5,8,12.25,0
Barbara Olivia Rodriguez,22,11,6.17,7.36,8.27,34.06,6.15,7.51,7.07,Associate's,Japan,Italian,8.92,1,3,20.35,0
Mary Sophie Smith,40,9,8.29,7.52,10.0,28.27,7.27,2.74,4.03,Culinary School,USA,French,7.54,3,3,23.04,1
Michael Emma Williams,30,9,4.48,6.37,8.57,6.02,5.07,5.81,6.19,High School,USA,Japanese,5.65,2,2,7.88,0
Robert Benjamin Martinez,51,12,3.52,5.76,7.07,21.23,7.32,3.54,5.34,Bachelor's,Germany,Italian,5.98,5,3,24.3,0
Michael Olivia Davis,40,21,8.1,5.4,8.85,6.79,5.38,5.84,5.15,Associate's,France,Italian,3.21,4,9,21.56,0
William Edward Brown,39,11,6.71,6.73,9.04,5.56,6.45,6.22,6.14,Bachelor's,USA,Italian,1.77,3,6,20.18,0
Elizabeth Christopher Rodriguez,39,13,7.25,7.51,7.15,11.39,6.12,6.64,2.71,High School,France,Indian,1.31,6,2,13.79,0
Robert Benjamin Rodriguez,30,9,7.38,10.0,9.01,32.4,8.02,7.11,5.27,High School,Japan,French,1.82,3,5,23.86,1
Barbara Olivia Garcia,30,14,5.75,8.1,10.0,18.09,7.08,6.75,9.47,High School,India,Mexican,9.34,4,5,28.41,1
Mary Emma Williams,51,14,5.12,7.25,10.0,18.04,7.98,1.31,4.85,Culinary School,China,Indian,1.64,3,6,17.96,0
Mary Emma Davis,41,11,7.81,9.15,10.0,30.34,6.48,6.66,4.45,Associate's,UK,Japanese,7.24,3,6,18.41,1
Michael Sophie Davis,18,4,8.84,6.5,8.64,16.81,6.66,2.57,4.72,Culinary School,Mexico,Indian,1.85,1,7,20.11,1
Barbara Daniel Johnson,36,12,5.75,7.5,7.6,11.53,5.95,9.45,6.76,High School,Mexico,Japanese,9.75,2,2,18.0,0
Patricia Benjamin Miller,33,14,6.71,5.4,6.11,16.33,6.46,1.5,3.09,High School,Italy,Mexican,3.67,5,1,19.11,0
John Daniel Davis,22,2,3.26,5.24,7.9,20.08,5.68,2.13,7.52,High School,USA,Mexican,4.12,2,2,25.14,0
Patricia Daniel Rodriguez,42,13,6.57,6.22,5.82,25.59,8.87,4.06,6.34,Associate's,Italy,French,4.05,5,4,19.67,1
Michael Grace Rodriguez,24,10,6.92,7.87,8.95,22.68,6.39,5.07,6.58,Bachelor's,Italy,Indian,8.16,6,7,21.45,0
Robert Sophia Garcia,47,12,9.12,7.65,9.96,32.83,7.19,3.65,5.2,High School,Mexico,Mexican,2.18,3,6,30.17,0
Mary Sophia Miller,29,8,3.41,4.81,8.79,29.14,6.76,3.87,6.6,Culinary School,Brazil,Japanese,8.31,2,6,27.32,0
William Grace Rodriguez,37,0,2.03,4.05,4.29,14.42,6.26,1.0,4.92,High School,China,Mexican,6.57,2,8,14.77,0
Robert Alexander Jones,40,15,5.76,4.19,3.45,26.7,5.64,7.06,5.01,Associate's,Brazil,French,2.2,3,5,28.72,0
Mary Olivia Williams,25,9,5.44,6.68,6.33,12.59,5.72,8.25,4.8,Bachelor's,Brazil,Japanese,0.65,4,7,26.88,0
William Christopher Williams,18,8,5.45,6.84,10.0,1.24,6.27,5.85,4.9,High School,Mexico,Italian,7.75,1,7,27.47,0
Elizabeth Alexander Brown,21,5,7.33,6.66,10.0,24.02,7.74,6.06,8.01,High School,China,French,2.19,4,5,16.87,0
Michael Benjamin Rodriguez,21,8,3.68,6.49,4.77,0.0,4.98,7.41,4.45,High School,Brazil,French,8.89,2,5,21.06,0
Robert Emma Miller,18,7,7.73,8.66,10.0,45.71,8.2,8.29,7.87,High School,UK,Italian,1.3,3,7,18.04,0
Elizabeth Christopher Johnson,18,0,6.42,6.75,8.77,23.24,6.78,3.15,4.52,Culinary School,Japan,Mexican,6.16,0,10,20.61,1
John Edward Williams,39,11,4.96,6.91,10.0,21.67,6.83,1.0,5.32,Culinary School,China,French,6.92,3,6,28.76,0
Mary Olivia Davis,29,8,7.37,7.07,9.46,23.0,7.58,6.22,6.58,Bachelor's,Brazil,Italian,6.58,5,1,20.7,0
Michael Grace Johnson,38,7,6.39,7.23,8.21,11.64,6.49,5.06,5.73,Bachelor's,UK,Italian,3.16,2,5,11.4,0
John Sophia Smith,22,2,5.21,7.65,7.68,17.11,7.93,3.91,6.2,High School,India,French,8.76,6,6,18.13,0
Robert Benjamin Brown,38,12,6.98,5.95,7.89,14.23,7.75,4.03,5.02,High School,China,Indian,7.7,3,5,16.73,1
William Daniel Miller,38,10,5.65,5.86,7.87,36.33,6.95,2.38,6.52,Bachelor's,Italy,French,5.1,0,2,28.95,1
John Daniel Rodriguez,46,13,6.63,6.39,9.58,16.03,6.33,6.88,5.62,Associate's,China,Indian,6.03,2,5,15.93,0
Elizabeth Edward Martinez,30,10,8.13,7.7,9.82,22.45,6.7,5.65,1.7,Associate's,India,Mexican,5.66,1,6,17.96,1
James Edward Williams,27,6,5.81,7.42,8.85,4.19,5.28,4.04,3.15,Bachelor's,Brazil,Italian,9.47,8,7,18.14,0
Linda Grace Brown,38,11,4.58,5.77,5.98,4.72,5.62,3.35,3.92,Associate's,France,Japanese,8.96,4,3,28.0,0
John Emma Smith,42,13,2.87,6.89,9.04,24.76,6.88,1.0,7.75,High School,China,French,2.35,3,5,24.8,1
Patricia Alexander Smith,18,2,7.61,8.29,10.0,12.86,6.77,7.16,2.24,Bachelor's,Brazil,Japanese,2.63,4,5,22.84,0
Patricia Christopher Miller,24,5,5.67,7.7,3.68,0.88,5.77,7.03,3.62,Associate's,India,Mexican,9.81,3,3,21.16,0
Barbara Benjamin Williams,56,20,9.08,8.5,10.0,19.39,6.08,1.8,2.83,Bachelor's,France,French,2.37,4,3,21.08,0
Elizabeth Sophie Garcia,24,7,4.76,4.59,9.2,24.85,7.19,5.36,6.0,Associate's,UK,Japanese,9.53,5,1,20.38,0
Mary Emma Garcia,30,4,4.34,8.07,3.48,24.63,7.07,2.63,6.17,High School,UK,Mexican,6.5,5,4,30.28,0
Mary Christopher Miller,32,3,2.31,4.2,8.36,9.61,3.76,4.91,5.46,High School,Mexico,Indian,0.5,2,5,13.66,0
