Name,Age,Experience,KnifeSkills,PlatingAesthetics,Creativity,ChallengeWinRate,JudgesFeedback,StressManagement,SocialMediaFollowing,Education,Country,CuisineSpecialty,AudiencePopularity,SignatureDishes,UniqueIngredients,HoursPracticed,Top10Percent
Robert Smith,30.067015042234708,7.938111186061645,6.512911354265343,7.964313609712744,6.036215193813426,18.517529435536698,6.385230107156678,-0.16821153218274087,4.033516996232541,High School,Brazil,Mexican,1.323729594025026,3,3,20.572728503971625,0
James Jones,27.477916225726265,8.429839402549003,9.20433491499432,7.180028740551559,10.049791646436482,20.31269577576589,6.466432146604656,5.459173878329586,0.9183201723229226,Associate's,Italy,French,1.0420395235945379,1,5,19.880700852999116,0
Mary Rodriguez,37.14503523360771,7.380549380648837,6.065845167837619,7.203173990017301,7.124803123677337,37.477573733807546,6.0181188671983294,5.381453187518087,3.115990287515796,High School,Germany,Indian,7.253754133245748,3,5,21.66192714024047,0
Elizabeth Miller,28.545516531844186,8.682298717861496,2.2724789397245218,6.3948566637028925,6.342234383442876,22.640495269358684,5.517351790191359,7.794576975344148,6.100372550270985,Associate's,France,Japanese,2.370814049312715,8,6,13.751026793295607,0
Patricia Miller,21.561616106112112,10.656169669665882,6.171447217146688,7.355292413755773,8.27307814890529,34.05667980729686,6.151611745872612,7.512600080924727,7.074912535356098,Culinary School,USA,Mexican,1.3779337463847252,2,2,20.365893572524087,0
Barbara Davis,39.91318866560678,8.762175052556945,8.288619925011487,7.522484822909308,11.053236430996755,28.272030241227064,7.268363495905154,2.7409625105535294,4.026123972361416,Culinary School,Brazil,Mexican,4.994275969978428,3,9,27.17229513259173,0
Barbara Jones,30.232054244915272,9.397500250168829,4.481032516848613,6.370611254927767,8.566383911847293,6.017398718755658,5.0685720688735545,5.814197719509703,6.194169999143961,High School,Brazil,Italian,8.02765287536304,2,9,19.17098586568041,0
Michael Miller,50.80664328501405,12.176217801431648,3.519299081110317,5.757996628706934,7.071667554820501,21.226346129883872,7.3202998604133445,3.539452733452314,5.342568086675871,Bachelor's,France,French,2.7878274587313046,2,4,22.47336382783233,0
Mary Williams,40.019861319186845,20.59169917405339,8.096142377089372,5.400370001756167,8.854487303831027,6.789527668779252,5.3837989895320035,5.837033902179728,5.147423126364583,High School,India,Mexican,2.764316117008078,4,4,22.00812355846673,0
Mary Williams,39.419825704566094,10.759227642993837,6.707280971985113,6.725201491484227,9.040562732670717,5.557188287468554,6.447176684188911,6.2228507753612305,6.140557434990079,Culinary School,Brazil,Mexican,8.338812602603769,9,2,24.311342153012916,0
William Miller,38.504563393342416,12.582468113202866,7.254556300905235,7.506626589873717,7.150320775657007,11.390802678793111,6.115937894687062,6.641764100909062,2.710934762269179,Bachelor's,China,Indian,1.4783379456878265,3,3,21.435694498686903,0
Patricia Davis,29.509682994539887,9.310548210333522,7.377900371510091,10.357704030093991,9.005914316552317,32.40489770977872,8.018289752639879,7.113628261654744,5.2717435760052815,High School,UK,French,6.167275917865473,5,10,24.22682614349666,1
Michael Martinez,30.410084123654627,13.80283173242309,5.752660552892317,8.103704765199897,10.987806238105122,18.09366079433056,7.077054959401861,6.749554572765475,9.465521137404608,Associate's,China,Japanese,9.550134829825854,3,9,22.536456895887216,1
Linda Brown,51.38960414826785,14.346786720994515,5.122635705557539,7.248167379067156,11.500689297749677,18.036587577113536,7.981452548790662,1.3096307790053916,4.853638131862047,High School,China,Indian,8.413031495773076,1,8,23.286425043470416,0
Robert Martinez,40.99735224538896,11.375713651184013,7.808510489062552,9.149797950716819,11.6089455469155,30.335769163906036,6.47739746758045,6.664250848836705,4.4519292924477325,Bachelor's,China,Japanese,0.618152337797292,2,6,22.21063821139186,1
Barbara Williams,17.15891441370167,4.390372514634215,8.839599065297685,6.502375093314484,8.643823096325034,16.81198924231379,6.6559948290537125,2.5742271638154772,4.720899412064072,Associate's,Germany,Italian,3.1991087656162542,2,3,14.966053260853204,0
John Jones,36.02671847351343,12.031559487730668,5.753237152303759,7.496131774177592,7.595810648160532,11.531104986034856,5.952409901029875,9.445553399155482,6.760592491984017,Associate's,Italy,Mexican,1.4237446559261635,5,6,14.146178266536978,0
William Jones,32.7746179877914,14.196504298897311,6.708078325271694,5.403646365695246,6.105401608879339,16.33197915986794,6.464697831812738,1.4987245973617829,3.086176317006478,Associate's,Brazil,Indian,9.492406376871397,5,8,18.233862707478686,0
James Jones,21.797436824137293,2.4523633670974876,3.2611817417257436,5.243383599609897,7.900681595179824,20.083896875707385,5.680239814751949,2.1286615323830502,7.51941816570447,Culinary School,UK,Japanese,9.859415662220812,2,5,27.75820264088175,0
William Miller,41.72447936526881,12.588922849425892,6.568201112838743,6.21607058021587,5.817594430337158,25.592219657584707,8.868288623741504,4.064167305846002,6.33513328717816,Culinary School,France,French,2.349930205400379,2,5,19.141734780363407,0
William Martinez,23.914966860145128,9.773304295195107,6.918952185953201,7.874843747114815,8.946895467465131,22.683636747762165,6.386899029931084,5.0719708934043535,6.578704804380901,Associate's,USA,Italian,6.696990448287526,6,2,21.547797423793316,0
Elizabeth Jones,46.53090063358617,12.301623894702113,9.117895806396605,7.6474804417125615,9.962778770904642,32.83493421687153,7.192448139260462,3.6540247397599876,5.203301818630794,Bachelor's,Mexico,Italian,8.416317320471183,2,3,10.163468387387026,1
John Johnson,28.72614663215788,8.264400218970398,3.4088584191554143,4.8057948863452395,8.79082113559953,29.135681157039436,6.759142740854437,3.869382764748662,6.595232820395259,Bachelor's,Germany,Mexican,2.3368028441447652,6,8,20.96870950334053,0
William Jones,37.182057993298244,-0.7773501258238369,2.029631622810777,4.045549138737391,4.294427235458812,14.42261791944033,6.258840172728975,-2.543954656911474,4.924576446619623,Bachelor's,Japan,Mexican,1.8768063432097748,3,11,20.42954009208315,0
James Johnson,39.51782740117321,15.18966064831835,5.759602346868182,4.186247113415918,3.4533329625409115,26.701269734685198,5.641782765850164,7.055553009856505,5.01187996989021,High School,UK,Japanese,0.11211023247280294,2,4,6.633405210867975,0
Mary Brown,25.13998166662404,8.517286795884763,5.438902263409334,6.682302229213365,6.326715331385054,12.58884207752235,5.721720167876143,8.247987815252987,4.803441343577434,High School,Mexico,Japanese,4.119624569415259,3,5,21.454444709853938,0
Linda Davis,17.79168098608721,8.372481055405382,5.454119220436363,6.835715083536084,10.387061892979894,1.2399435106988967,6.269717790840692,5.847406970871704,4.895478078904748,High School,Brazil,Italian,8.994374623947165,2,4,11.745097216723837,0
John Martinez,21.449666504099206,4.817200697464161,7.327663387590714,6.663303835855137,10.296697985766187,24.016373983287913,7.736275556903569,6.057337250038099,8.007050771907558,Associate's,Germany,Japanese,9.029796490563488,5,3,16.37325417543962,0
Elizabeth Garcia,20.678927789646725,7.788672455661326,3.679998923806958,6.493265112049442,4.7709358688215495,-1.4392068836068788,4.979838385997289,7.412606621377794,4.44798458313882,High School,Italy,Mexican,1.2774312750901629,1,3,24.97236006637472,0
Patricia Davis,18.043869392574415,7.4659363152287535,7.730516065897031,8.662133629849599,13.770372478519327,45.71045095283816,8.19997685649193,8.289357288884679,7.8708463035643215,Associate's,Italy,Italian,2.0435248052839494,4,5,20.78725763418866,1
William Rodriguez,16.75187510904322,-1.048005344304137,6.418432481359321,6.750152381755081,8.770869553208883,23.240140496269163,6.77653646427183,3.1482819759286103,4.517135173437105,Associate's,UK,Italian,4.0804733093453365,4,4,17.757749545151185,0
Linda Johnson,39.01899091614002,10.995323341529947,4.96234651426982,6.906426574734175,13.068322705651731,21.673433108712878,6.826364180455764,-0.5350462431085159,5.320627081506899,Associate's,UK,French,7.80624545163702,5,5,17.32962400326398,0
Mary Martinez,29.497581201203268,7.617923731679532,7.36810935773963,7.069598597791503,9.46401518193927,23.00111264241508,7.581074570815053,6.216826960112279,6.575160406022757,Associate's,India,French,6.118514835317286,4,5,17.910038831834154,0
William Jones,37.706962034615664,6.8252888055346315,6.394900805463017,7.233144052925118,8.214492996448788,11.638486299427587,6.48666943511194,5.0576031261999725,5.730237250219277,High School,Brazil,Japanese,5.138497435202164,3,2,20.804444772453994,0
Michael Garcia,21.86579456885169,2.3731371441558657,5.206515358900154,7.645439867862281,7.682407055202435,17.109891384275194,7.928119525907954,3.911576617237997,6.196348473476267,Bachelor's,Brazil,Japanese,5.919318842226032,3,1,13.996785713020692,0
William Jones,37.838084871452615,12.023283506270243,6.978268482895745,5.954725669562309,7.8869771191336016,14.232362184523321,7.745070140987778,4.0301576470083855,5.019499053466442,Culinary School,Brazil,Mexican,0.9619969380229665,2,1,25.62208734073332,0
Barbara Brown,38.19504762612041,9.979384636396814,5.650675211770506,5.857754537952164,7.869657905864877,36.32728514373406,6.948100405137199,2.375068749060849,6.52351362027644,Associate's,Germany,Mexican,4.776636422549069,1,1,14.262181605612264,0
Michael Rodriguez,46.02216023779769,13.060698883554165,6.634498209628175,6.3878562670966925,9.58039595312982,16.025136352318047,6.329430101294006,6.87809693943983,5.624874649752137,Bachelor's,Italy,French,9.920632895391284,2,4,11.364712335801906,0
Mary Rodriguez,29.763213327377112,9.641268388626747,8.12521762502247,7.704530056663019,9.823157668397995,22.451620143473065,6.699650986010102,5.647138967035531,1.6952597672454108,High School,Germany,Italian,0.8844614693908781,5,7,24.955765659735352,0
