student_id,name,age,gender,major,learning_style,parents_education_level,avg_sleep_hours,high_school_gpa,study_hours_per_week,family_income,english_proficiency,math_proficiency,science_proficiency,final_gpa,graduation_within_4_years,academic_performance_description
1,Zachary Byrd,19,Female,Biology,Visual,Associate Degree,7.713382653892873,3.04,16,193000.0,68,76,84,2.0,1,"Struggling despite effort, may benefit from academic support services"
2,Jacqueline Kramer,23,Male,Economics,Reading/Writing,Master's Degree,4.379656462981668,3.16,20,8000.0,92,85,82,3.0,1,Good academic standing maintained through consistent effort
3,Justin Spencer,20,Male,Business,Visual,Bachelor's Degree,6.191858743980856,3.47,21,52000.0,79,84,77,2.0,1,"Struggling despite effort, may benefit from academic support services"
4,Renee Griffith,19,Male,Biology,Auditory,High School,6.617579544394616,2.62,18,82000.0,85,75,85,3.0,1,Solid performance with room for increased study time
5,Eric Holland,18,Male,Psychology,Visual,Master's Degree,7.384255908541418,2.8,14,38000.0,87,92,93,2.75,1,"Average performance, requires more focused study approach"
6,Alex Howard,18,Male,Mathematics,Auditory,Associate Degree,8.78996650889069,3.18,9,154000.0,81,76,78,3.0,1,Solid performance with room for increased study time
7,Amber Hill,18,Female,Social Sciences,Auditory,High School,5.8423887781048265,3.19,15,47000.0,76,79,81,2.0,1,"Struggling despite effort, may benefit from academic support services"
8,Michael Carey,21,Female,Computer Science,Visual,Associate Degree,6.253057229773237,2.54,13,155000.0,76,82,88,2.0,0,"Struggling despite effort, may benefit from academic support services"
9,Michael Holden,20,Female,Biology,Auditory,Associate Degree,6.231198834030175,3.59,40,76000.0,92,86,99,3.75,1,Outstanding achievement through dedicated effort and consistent study
10,Christina Wright,20,Female,Computer Science,Kinesthetic,Master's Degree,5.797708614843188,2.49,12,66000.0,65,90,84,2.25,1,"Struggling despite effort, may benefit from academic support services"
11,Jacqueline West,18,Female,Psychology,Visual,High School,6.4792202573316064,2.71,10,187000.0,80,65,76,1.5,0,"Struggling despite effort, may benefit from academic support services"
12,Janice Nguyen,23,Female,Business,Visual,Bachelor's Degree,8.156203329981956,3.12,21,83000.0,78,87,84,3.0,1,Good academic standing maintained through consistent effort
13,Patrick Brown,21,Female,Business,Auditory,Associate Degree,5.4192467569534815,2.81,7,139000.0,75,69,70,1.5,0,"Below average performance, needs significant increase in study effort"
14,Shannon Tucker,18,Male,Engineering,Auditory,High School,7.641721592729355,2.72,8,39000.0,81,84,80,2.75,1,"Average performance, requires more focused study approach"
15,Andrea Salazar,18,Male,Biology,Visual,Doctorate,4.447146654972497,4.0,40,65000.0,89,98,100,3.75,0,Outstanding achievement through dedicated effort and consistent study
16,Jean Williams,18,Male,Business,Kinesthetic,Associate Degree,6.157993005336691,2.7,24,37000.0,86,81,99,2.25,1,"Struggling despite effort, may benefit from academic support services"
17,Linda Roman,18,Female,Economics,Auditory,High School,6.505766049673021,4.0,13,42000.0,87,81,78,3.0,1,Solid performance with room for increased study time
18,Matthew Brown,19,Female,Engineering,Auditory,Associate Degree,9.512289509371097,3.34,13,44000.0,83,90,97,3.25,1,Solid performance with room for increased study time
19,Devin Wilson,19,Male,Computer Science,Reading/Writing,Master's Degree,6.587796542870968,3.42,15,120000.0,76,93,100,3.0,1,Solid performance with room for increased study time
20,Paul Downs,18,Female,Economics,Kinesthetic,High School,4.0,3.24,11,202000.0,78,80,77,3.0,1,Solid performance with room for increased study time
21,Charles Landry,20,Male,Business,Kinesthetic,High School,4.001666639708125,4.0,22,47000.0,73,90,77,3.5,1,High achievement despite suboptimal rest
22,Derek Ellis,18,Female,Engineering,Visual,High School,7.051044379520022,2.5,15,35000.0,76,94,91,2.5,1,"Average performance, requires more focused study approach"
23,Melissa Coleman,18,Male,Biology,Kinesthetic,High School,7.920656283684863,2.44,8,24000.0,73,80,88,2.5,1,"Average performance, requires more focused study approach"
24,Christopher Wilson,19,Male,Business,Visual,Bachelor's Degree,7.563183786440879,2.87,12,102000.0,78,86,84,3.0,1,Solid performance with room for increased study time
25,Linda Gentry,19,Female,Computer Science,Reading/Writing,Associate Degree,7.251355158701485,3.14,15,54000.0,95,100,94,2.25,1,"Struggling despite effort, may benefit from academic support services"
26,Lisa Murray,20,Male,Engineering,Kinesthetic,High School,8.7433893962585,2.14,9,41000.0,69,71,87,2.25,1,"Below average performance, needs significant increase in study effort"
27,Karen Fernandez,18,Male,Social Sciences,Auditory,High School,6.190613168894303,3.01,21,187000.0,85,74,74,2.25,1,"Struggling despite effort, may benefit from academic support services"
28,Felicia Johnson,19,Male,Biology,Reading/Writing,High School,8.342365834040237,3.85,18,49000.0,80,78,100,2.5,1,"Average performance, requires more focused study approach"
29,Robert Bowman,19,Female,Biology,Visual,Master's Degree,4.551977672460374,3.45,23,70000.0,81,84,97,3.0,1,Good academic standing maintained through consistent effort
30,Miranda Collins,18,Female,Biology,Reading/Writing,High School,5.6425782505929005,2.85,26,62000.0,78,77,92,2.5,0,"Average performance, possibly impacted by insufficient rest"
31,Sarah Baker,20,Male,Business,Visual,Doctorate,4.2894379076022755,3.19,40,18000.0,78,91,89,2.5,1,"Average performance, possibly impacted by insufficient rest"
32,Jason Clark,18,Female,Engineering,Reading/Writing,Associate Degree,6.587732048995312,3.57,21,31000.0,84,92,94,3.0,1,Good academic standing maintained through consistent effort
33,Dillon Estes,18,Female,Economics,Visual,High School,6.930608174100486,2.59,15,84000.0,78,93,68,2.25,1,"Struggling despite effort, may benefit from academic support services"
34,Cynthia Porter,23,Male,Computer Science,Kinesthetic,Master's Degree,7.17115223833978,4.0,24,177000.0,90,93,100,3.75,1,Exceptional academic performance with natural ability
35,Audrey Brown,23,Male,Business,Auditory,Associate Degree,7.092825029330703,4.0,14,90000.0,88,77,88,3.25,1,Solid performance with room for increased study time
36,Adam Snyder,21,Male,Business,Visual,Bachelor's Degree,5.608670003782408,3.38,28,123000.0,88,79,85,2.5,1,"Average performance, possibly impacted by insufficient rest"
37,Lisa Hayes,18,Male,Engineering,Reading/Writing,Doctorate,6.714638733380177,3.49,31,26000.0,87,91,93,3.75,1,Outstanding achievement through dedicated effort and consistent study
38,Sara Wright,18,Female,Social Sciences,Visual,High School,4.753829997091377,3.52,15,122000.0,77,84,79,2.5,1,"Average performance, possibly impacted by insufficient rest"
39,Jonathan Rose,20,Male,Computer Science,Visual,High School,9.044843462698376,3.55,17,121000.0,70,90,85,2.5,1,"Average performance, requires more focused study approach"
40,Ronald Smith,19,Female,Psychology,Visual,Bachelor's Degree,6.544560890652998,2.85,30,67000.0,87,82,88,2.75,1,"Average performance, requires more focused study approach"
41,Christopher Lewis,18,Female,Business,Reading/Writing,High School,6.266670821434463,2.74,27,88000.0,89,79,74,2.0,1,"Struggling despite effort, may benefit from academic support services"
42,Connor Green,19,Male,Social Sciences,Auditory,High School,9.383410492666124,2.34,1,17000.0,84,69,76,1.5,0,"Below average performance, needs significant increase in study effort"
43,Destiny Young,18,Female,Computer Science,Kinesthetic,High School,5.136630199676157,3.2,10,99000.0,72,81,89,1.5,0,"Struggling despite effort, may benefit from academic support services"
44,Annette Anderson,22,Male,Engineering,Auditory,High School,5.311619328952046,3.33,14,40000.0,89,90,85,2.5,1,"Average performance, possibly impacted by insufficient rest"
45,George Reynolds,18,Non-Binary,Economics,Visual,Bachelor's Degree,5.355669512697152,2.58,11,55000.0,91,93,93,1.75,0,"Struggling despite effort, may benefit from academic support services"
46,Garrett Hunt,20,Female,Economics,Reading/Writing,High School,6.898192927450777,2.77,15,79000.0,87,90,80,2.0,1,"Struggling despite effort, may benefit from academic support services"
